Filename,Chunk Size,Generated Question,dynamic_tinybert_q_a_256_dynamic_tinybert_q_a_256_1 Docs,dynamic_tinybert_q_a_256_dynamic_tinybert_q_a_256_10 Docs,dynamic_tinybert_q_a_256_dynamic_tinybert_q_a_256_3 Docs,dynamic_tinybert_q_a_256_dynamic_tinybert_q_a_256_5 Docs,gpt2-medium_q_a_256_gpt2-medium_q_a_256_1 Docs,gpt2-medium_q_a_256_gpt2-medium_q_a_256_10 Docs,gpt2-medium_q_a_256_gpt2-medium_q_a_256_3 Docs,gpt2-medium_q_a_256_gpt2-medium_q_a_256_5 Docs,roberta-base_q_a_256_roberta-base_q_a_256_1 Docs,roberta-base_q_a_256_roberta-base_q_a_256_10 Docs,roberta-base_q_a_256_roberta-base_q_a_256_3 Docs,roberta-base_q_a_256_roberta-base_q_a_256_5 Docs,t5-base_q_a_256_t5-base_q_a_256_1 Docs,t5-base_q_a_256_t5-base_q_a_256_10 Docs,t5-base_q_a_256_t5-base_q_a_256_3 Docs,t5-base_q_a_256_t5-base_q_a_256_5 Docs
aa23-278a_chunk_11.txt,256,,gain access to MFA authentication credentials,gain access to MFA authentication credentials,gain access to MFA authentication credentials,gain access to MFA authentication credentials,"/or “SIM swap” techniques. These attempts, if successful","/or “SIM swap” techniques. These attempts, if successful","/or “SIM swap” techniques. These attempts, if successful","/or “SIM swap” techniques. These attempts, if successful",users,users,users,users,Weak or Misconfigured MFA Methods Misconfigured Smart Cards or Tokens Some networks (generally government or DoD networks) require accounts to use smart cards or tokens,Weak or Misconfigured MFA Methods Misconfigured Smart Cards or Tokens Some networks (generally government or DoD networks) require accounts to use smart cards or tokens,Weak or Misconfigured MFA Methods Misconfigured Smart Cards or Tokens Some networks (generally government or DoD networks) require accounts to use smart cards or tokens,Weak or Misconfigured MFA Methods Misconfigured Smart Cards or Tokens Some networks (generally government or DoD networks) require accounts to use smart cards or tokens
icsa-24-074-07_chunk_44.txt,256,,User interaction is not needed for exploitation,high attack complexity,memory leak,memory leak,calculated; the CVSS vector string is,CISA at this,7.8 has been assigned,7.8 has been assigned,User,vulnerability has been reported to CISA at this time.,The manipulation leads to use,The manipulation leads to use,CONCURRENT EXECUTION USING SHARED RESOURCE WITH IMPROPER INPUT VALIDATION,FALSE,TRUE,TRUE
home-network-security_chunk_4.txt,256,,using default credentials,using default credentials,using default credentials,using default credentials,#NAME?,#NAME?,#NAME?,#NAME?,"PIN, making a brute-force attack much more likely","PIN, making a brute-force attack much more likely","PIN, making a brute-force attack much more likely","PIN, making a brute-force attack much more likely",Change your router’s administrator password to help protect it from an attack using default credentials,Change your router’s administrator password to help protect it from an attack using default credentials,Change your router’s administrator password to help protect it from an attack using default credentials,Change your router’s administrator password to help protect it from an attack using default credentials
ar23-074a_chunk_17.txt,256,,Detects PE information gathering samples,Detects PE information gathering samples,Detects PE information gathering samples,Detects PE information gathering samples,8 =,8 =,8 =,8 =,$m4,$m4,$m4,$m4,download and execute a payload,download and execute a payload,download and execute a payload,download and execute a payload
aa20-245a_chunk_16.txt,256,,when designing network segments,when designing network segments,when designing network segments,when designing network segments,Sensitive,Sensitive,Sensitive,Sensitive,additional hardware is required. Existing technologies can be used to prevent,additional hardware is required. Existing technologies can be used to prevent,additional hardware is required. Existing technologies can be used to prevent,additional hardware is required. Existing technologies can be used to prevent,Implement Principles of Least Privilege,Implement Principles of Least Privilege,Implement Principles of Least Privilege,Implement Principles of Least Privilege
icsa-23-166-11_chunk_30.txt,256,,to form a BIO chain,to form a BIO chain,to form a BIO chain,to form a BIO chain,d_PKCS7_bio,d_PKCS7_bio,d_PKCS7_bio,d_PKCS7_bio,addresses were,addresses were,addresses were,addresses were,to form a BIO chain,to form a BIO chain,to form a BIO chain,to form a BIO chain
aa22-320a_chunk_11.txt,256,,using an account with administrative privileges,using an account with administrative privileges,using an account with administrative privileges,using an account with administrative privileges,"soon as possible. Prior to implementing any temporary solution, ensure appropriate backups have","soon as possible. Prior to implementing any temporary solution, ensure appropriate backups have","soon as possible. Prior to implementing any temporary solution, ensure appropriate backups have","soon as possible. Prior to implementing any temporary solution, ensure appropriate backups have",services. WAFs,services. WAFs,services. WAFs,services. WAFs,Implement temporary solutions using an account with administrative privileges,Implement temporary solutions using an account with administrative privileges,Implement temporary solutions using an account with administrative privileges,Implement temporary solutions using an account with administrative privileges
aa23-278a_chunk_26.txt,256,,providing easy integration,providing easy integration,providing easy integration,providing easy integration,does not result in compromise of the entire system. For example,does not result in compromise of the entire system. For example,does not result in compromise of the entire system. For example,does not result in compromise of the entire system. For example,administrators of infrequently used services and provide recommendations for disabling them,administrators of infrequently used services and provide recommendations for disabling them,administrators of infrequently used services and provide recommendations for disabling them,administrators of infrequently used services and provide recommendations for disabling them,Design products so that the compromise of a single security control does not result in compromise of the entire system,Design products so that the compromise of a single security control does not result in compromise of the entire system,Design products so that the compromise of a single security control does not result in compromise of the entire system,Design products so that the compromise of a single security control does not result in compromise of the entire system
ar22-277a_chunk_0.txt,256,,publicly available utility used to compress and archive other files,extortion of the organization,publicly available utility used to compress and archive other files,publicly available utility used to compress and archive other files,CovalentStealer malware. The files are designed,"enumerate accessible network shares in a domain.[21],[22",CovalentStealer malware. The files are designed,CovalentStealer malware. The files are designed,files,purposes,files,files,predetermined,JavaScript files used to establish connections back to malicious infrastructure,predetermined,creating a malicious certificate chain that triggers exponential use of computational resources
home-network-security_chunk_16.txt,256,,Temporary Key Integrity Protocol,Temporary Key Integrity Protocol,Temporary Key Integrity Protocol,Temporary Key Integrity Protocol,referred to,referred to,referred to,referred to,each,each,each,each,,,,
aa23-165a_chunk_16.txt,256,,Implement time-based access for accounts set at the admin level and higher,Implement time-based access for accounts set at the admin level and higher,Implement time-based access for accounts set at the admin level and higher,Implement time-based access for accounts set at the admin level and higher,in-Time (JIT,in-Time (JIT,in-Time (JIT,in-Time (JIT,vulnerabilities can often be exploited directly by the threat,vulnerabilities can often be exploited directly by the threat,vulnerabilities can often be exploited directly by the threat,vulnerabilities can often be exploited directly by the threat,Implement time-based access for accounts set at the admin level and higher,Implement time-based access for accounts set at the admin level and higher,Implement time-based access for accounts set at the admin level and higher,Implement time-based access for accounts set at the admin level and higher
icsa-24-046-15_chunk_4.txt,256,,denial-of-service condition,denial-of-service condition,denial-of-service condition,denial-of-service condition,2023-0217 has been assigned to this vulnerability,2023-0217 has been assigned to this vulnerability,2023-0217 has been assigned to this vulnerability,2023-0217 has been assigned to this vulnerability,applications might call the function if there are additional security requirements,applications might call the function if there are additional security requirements,applications might call the function if there are additional security requirements,applications might call the function if there are additional security requirements,invalid pointer dereference on read can be triggered when an application tries to check a malformed DSA public key by the EVP_PKEY_public_check() function,invalid pointer dereference on read can be triggered when an application tries to check a malformed DSA public key by the EVP_PKEY_public_check() function,invalid pointer dereference on read can be triggered when an application tries to check a malformed DSA public key by the EVP_PKEY_public_check() function,invalid pointer dereference on read can be triggered when an application tries to check a malformed DSA public key by the EVP_PKEY_public_check() function
aa23-075a_chunk_11.txt,256,,"physically separate, segmented, and secure location","physically separate, segmented, and secure location","physically separate, segmented, and secure location","physically separate, segmented, and secure location",.g,.g,.g,.g,"software, and firmware up to date. Timely patching","software, and firmware up to date. Timely patching","software, and firmware up to date. Timely patching","software, and firmware up to date. Timely patching","Physically separate, segmented, and secure","Physically separate, segmented, and secure","Physically separate, segmented, and secure","Physically separate, segmented, and secure"
icsa-23-166-11_chunk_6.txt,256,,to make sure it is consistent with the calling process,memory leak,memory leak,memory leak,/I:H,7.8 has been assigned,7.8 has been assigned,7.8 has been assigned,users,The manipulation leads to use,The manipulation leads to use,The manipulation leads to use,(CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H).,A CVSS v3 base score of 5.5 has been calculated; the CVSS vector string is (CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:H).,A CVSS v3 base score of 5.5 has been calculated; the CVSS vector string is (CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:H).,A CVSS v3 base score of 5.5 has been calculated; the CVSS vector string is (CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:H).
aa23-347a_chunk_3.txt,256,,"unpatched, Internet-reachable","unpatched, Internet-reachable","unpatched, Internet-reachable","unpatched, Internet-reachable",SVR’s operation to the exploitation,SVR’s operation to the exploitation,SVR’s operation to the exploitation,SVR’s operation to the exploitation,"operation, having access to these companies’ networks presents the SVR","operation, having access to these companies’ networks presents the SVR","operation, having access to these companies’ networks presents the SVR","operation, having access to these companies’ networks presents the SVR",allowing the threat actors to compromise the networks of dozens of software developers,allowing the threat actors to compromise the networks of dozens of software developers,allowing the threat actors to compromise the networks of dozens of software developers,allowing the threat actors to compromise the networks of dozens of software developers
aa20-275a_chunk_10.txt,256,,CVE-2020-5902 in BIG-IP Traffic Management User Interface,CVE-2020-5902 in BIG-IP Traffic Management User Interface,CVE-2020-5902 in BIG-IP Traffic Management User Interface,CVE-2020-5902 in BIG-IP Traffic Management User Interface,2020-5902 CVE,2020-5902 CVE,2020-5902 CVE,2020-5902 CVE,versions 11.1 and 12.0 Citrix blog post: security updates,versions 11.1 and 12.0 Citrix blog post: security updates,versions 11.1 and 12.0 Citrix blog post: security updates,versions 11.1 and 12.0 Citrix blog post: security updates,TRUE,TRUE,TRUE,TRUE
ar23-243a_chunk_20.txt,256,,return DROPBEAR_SUCCESS,return DROPBEAR_SUCCESS,return DROPBEAR_SUCCESS,return DROPBEAR_SUCCESS,listenport,listenport,listenport,listenport,preferred ciphers,preferred ciphers,preferred ciphers,preferred ciphers,-t Allocate a pty -T Don't allocate a pty,-t Allocate a pty -T Don't allocate a pty,-t Allocate a pty -T Don't allocate a pty,-t Allocate a pty -T Don't allocate a pty
aa23-059a_chunk_28.txt,256,,Credentials from Password Stores,Credentials from Password Stores,Credentials from Password Stores,Credentials from Password Stores,1580 The,1580 The,1580 The,1580 The,Infrastructure Discovery T1580 The team found SecOps network diagrams on,Infrastructure Discovery T1580 The team found SecOps network diagrams on,Infrastructure Discovery T1580 The team found SecOps network diagrams on,Infrastructure Discovery T1580 The team found SecOps network diagrams on,passwords saved in bash history,passwords saved in bash history,passwords saved in bash history,passwords saved in bash history
icsa-24-046-15_chunk_17.txt,256,,maxParameterCount,maxParameterCount,maxParameterCount,maxParameterCount,8.5,8.5,8.5,8.5,vulnerability in Node.js affects,vulnerability in Node.js affects,vulnerability in Node.js affects,vulnerability in Node.js affects,,,,
icsa-24-102-08_chunk_9.txt,256,,denial of service,denial of service,denial of service,denial of service,0.42,0.42,0.42,0.42,may experience long delays. Where the key or parameters that are being checked,may experience long delays. Where the key or parameters that are being checked,may experience long delays. Where the key or parameters that are being checked,may experience long delays. Where the key or parameters that are being checked,some application dependent calculations or a crash leading to a denial of service,some application dependent calculations or a crash leading to a denial of service,some application dependent calculations or a crash leading to a denial of service,some application dependent calculations or a crash leading to a denial of service
aa23-339a_chunk_6.txt,256,,threat actors may have been able to change policies across compromised servers,threat actors may have been able to change policies across compromised servers,threat actors may have been able to change policies across compromised servers,threat actors may have been able to change policies across compromised servers,ColdFusion 9 or greater use the seed.,ColdFusion 9 or greater use the seed.,ColdFusion 9 or greater use the seed.,ColdFusion 9 or greater use the seed.,threat,threat,threat,threat,FALSE,FALSE,FALSE,FALSE
aa20-352a_chunk_6.txt,256,,provide persistence and escalation mechanisms,provide persistence and escalation mechanisms,provide persistence and escalation mechanisms,provide persistence and escalation mechanisms,"6, 2021","6, 2021","6, 2021","6, 2021",resources,resources,resources,resources,provide persistence and escalation mechanisms and a programmatic method of interacting with the Microsoft Cloud tenants,provide persistence and escalation mechanisms and a programmatic method of interacting with the Microsoft Cloud tenants,provide persistence and escalation mechanisms and a programmatic method of interacting with the Microsoft Cloud tenants,provide persistence and escalation mechanisms and a programmatic method of interacting with the Microsoft Cloud tenants
icsa-24-046-11_chunk_37.txt,256,,to expose cryptographic primitives and recipes to Python developers,to expose cryptographic primitives and recipes to Python developers,to expose cryptographic primitives and recipes to Python developers,to expose cryptographic primitives and recipes to Python developers,2.2,2.2,2.2,2.2,application will,application will,application will,application will,,,,
aa22-158a_chunk_0.txt,256,,Common Vulnerabilities and Exposures (CVEs),Common Vulnerabilities and Exposures (CVEs),Common Vulnerabilities and Exposures (CVEs),Common Vulnerabilities and Exposures (CVEs),CISA,CISA,CISA,CISA,vulnerabilities listed in this advisory by applying the available patches,vulnerabilities listed in this advisory by applying the available patches,vulnerabilities listed in this advisory by applying the available patches,vulnerabilities listed in this advisory by applying the available patches,Common Vulnerabilities and Exposures (CVEs),Common Vulnerabilities and Exposures (CVEs),Common Vulnerabilities and Exposures (CVEs),Common Vulnerabilities and Exposures (CVEs)
aa23-347a_chunk_6.txt,256,,To facilitate privilege escalation,To facilitate privilege escalation,To facilitate privilege escalation,To facilitate privilege escalation,.e,.e,.e,.e,executables were stored in,executables were stored in,executables were stored in,executables were stored in,"To further enable obfuscation, data exchanged with malware via OneDrive and Dropbox were hidden inside randomly generated BMP files","To further enable obfuscation, data exchanged with malware via OneDrive and Dropbox were hidden inside randomly generated BMP files","To further enable obfuscation, data exchanged with malware via OneDrive and Dropbox were hidden inside randomly generated BMP files","To further enable obfuscation, data exchanged with malware via OneDrive and Dropbox were hidden inside randomly generated BMP files"
aa21-008a_chunk_2.txt,256,,growing and rapidly evolving technology footprints of major vendors,growing and rapidly evolving technology footprints of major vendors,growing and rapidly evolving technology footprints of major vendors,growing and rapidly evolving technology footprints of major vendors,"does not constitute or imply their endorsement, recommendation","does not constitute or imply their endorsement, recommendation","does not constitute or imply their endorsement, recommendation","does not constitute or imply their endorsement, recommendation",tools available to investigate adversary activity in,tools available to investigate adversary activity in,tools available to investigate adversary activity in,tools available to investigate adversary activity in,TRUE,TRUE,TRUE,TRUE
aa22-277a_chunk_6.txt,256,,to display the entries in the local IP routing table,block malicious traffic from entering your home network and alert you to potentially dangerous activity,to display the entries in the local IP routing table,to display the entries in the local IP routing table,Actors attempted,"addition to a network firewall, consider installing a firewall on all computers connected",Actors attempted,Actors attempted,Actors,"software-based, these firewalls",Actors,Actors,display the entries in the local IP routing table,display the entries in the local IP routing table,display the entries in the local IP routing table,display the entries in the local IP routing table
ar22-277a_chunk_5.txt,256,,hard-coded AES-256-CBC key ‘M,hard-coded AES-256-CBC key ‘M,hard-coded AES-256-CBC key ‘M,hard-coded AES-256-CBC key ‘M,JlYaDmxZF5ax,JlYaDmxZF5ax,JlYaDmxZF5ax,JlYaDmxZF5ax,it,it,it,it,HDDId,HDDId,HDDId,HDDId
ar22-277a_chunk_4.txt,256,,to decode ntstatus.bin,extortion of the organization,The manipulation leads to memory leak,The manipulation leads to memory leak,2 =,"enumerate accessible network shares in a domain.[21],[22",7.8 has been assigned,7.8 has been assigned,The second command reads,information on network shares [T1039] that,The manipulation leads to use,The manipulation leads to use,The program seeks to generate a key called ‘HDDId’ to decode ntstatus.bin,Network operators who identify multiple instances of the tools on the same network should investigate further as this may indicate the presence of an Iranian malicious cyber actor,FALSE,address processing inside an X.509 GeneralName
icsa-23-166-11_chunk_5.txt,256,,issue specific ioctl calls,The manipulation leads to memory leak,The manipulation leads to memory leak,The manipulation leads to memory leak,2022-2153 has been assigned to this vulnerability,7.8 has been assigned,7.8 has been assigned,7.8 has been assigned,results in,The manipulation leads to use,The manipulation leads to use,The manipulation leads to use,"allows an unprivileged local attacker on the host to issue specific ioctl calls, causing a kernel oops condition that results in a denial of service","allows an unprivileged local attacker on the host to issue specific ioctl calls, causing a kernel oops condition that results in a denial of service","allows an unprivileged local attacker on the host to issue specific ioctl calls, causing a kernel oops condition that results in a denial of service","allows an unprivileged local attacker on the host to issue specific ioctl calls, causing a kernel oops condition that results in a denial of service"
ar23-209a_chunk_4.txt,256,,to exploit a vulnerability on the target environment,to exploit a vulnerability on the target environment,to exploit a vulnerability on the target environment,to exploit a vulnerability on the target environment,3 =,3 =,3 =,3 =,filesize < 6KB and 3 of them,filesize < 6KB and 3 of them,filesize < 6KB and 3 of them,filesize < 6KB and 3 of them,The name of the file is designed to exploit a vulnerability on the target environment,The name of the file is designed to exploit a vulnerability on the target environment,The name of the file is designed to exploit a vulnerability on the target environment,The name of the file is designed to exploit a vulnerability on the target environment
aa23-319a_chunk_16.txt,256,,Privacy & Use policy,to access hosted resources without significant evidence or telemetry being generated,to access hosted resources without significant evidence or telemetry being generated,to access hosted resources without significant evidence or telemetry being generated,15-Nov,"6, 2021","6, 2021","6, 2021","VERSION HISTORY November 15, 2023: Initial version.",resources,resources,resources,This product is provided subject to this Notification and this Privacy & Use policy,TRUE,TRUE,TRUE
aa23-165a_chunk_17.txt,256,,to limit the ability for compromised service accounts to be used for lateral movement,to limit the ability for compromised service accounts to be used for lateral movement,to limit the ability for compromised service accounts to be used for lateral movement,to limit the ability for compromised service accounts to be used for lateral movement,e.g,e.g,e.g,e.g,software on all hosts. Raise awareness for phishing threats,software on all hosts. Raise awareness for phishing threats,software on all hosts. Raise awareness for phishing threats,software on all hosts. Raise awareness for phishing threats,limit the ability for compromised service accounts to be used for lateral movement,limit the ability for compromised service accounts to be used for lateral movement,limit the ability for compromised service accounts to be used for lateral movement,limit the ability for compromised service accounts to be used for lateral movement
aa23-136a_chunk_20.txt,256,,This product is provided subject to this Notification and this Privacy & Use policy,This product is provided subject to this Notification and this Privacy & Use policy,This product is provided subject to this Notification and this Privacy & Use policy,This product is provided subject to this Notification and this Privacy & Use policy,. This product is provided subject to this Notification and this Privacy,. This product is provided subject to this Notification and this Privacy,. This product is provided subject to this Notification and this Privacy,. This product is provided subject to this Notification and this Privacy,this Notification and this Privacy & Use policy.,this Notification and this Privacy & Use policy.,this Notification and this Privacy & Use policy.,this Notification and this Privacy & Use policy.,This product is provided subject to this Notification and this Privacy & Use policy,entailment,entailment,entailment
