Filename,Chunk Size,Generated Question,dynamic_tinybert_q_a_512_dynamic_tinybert_q_a_512_1 Docs,dynamic_tinybert_q_a_512_dynamic_tinybert_q_a_512_10 Docs,dynamic_tinybert_q_a_512_dynamic_tinybert_q_a_512_3 Docs,dynamic_tinybert_q_a_512_dynamic_tinybert_q_a_512_5 Docs,gpt2-medium_q_a_512_gpt2-medium_q_a_512_1 Docs,gpt2-medium_q_a_512_gpt2-medium_q_a_512_10 Docs,gpt2-medium_q_a_512_gpt2-medium_q_a_512_3 Docs,gpt2-medium_q_a_512_gpt2-medium_q_a_512_5 Docs,t5-base_q_a_512_t5-base_q_a_512_1 Docs,t5-base_q_a_512_t5-base_q_a_512_10 Docs,t5-base_q_a_512_t5-base_q_a_512_3 Docs,t5-base_q_a_512_t5-base_q_a_512_5 Docs
ar22-277a_chunk_0.txt,512,,CISA Code & Media Analysis,CISA Code & Media Analysis,CISA Code & Media Analysis,CISA Code & Media Analysis,"/a"" Family =","/a"" Family =","/a"" Family =","/a"" Family =",a MAR is the result of analytic efforts by the Cybersecurity and Infrastructure Security Agency,a MAR is the result of analytic efforts by the Cybersecurity and Infrastructure Security Agency,a MAR is the result of analytic efforts by the Cybersecurity and Infrastructure Security Agency,a MAR is the result of analytic efforts by the Cybersecurity and Infrastructure Security Agency
icsa-24-046-15_chunk_4.txt,512,,O(square(n)),O(square(n)),O(square(n)),O(square(n)),SIV implementation in OpenSSL just returns success for such a call instead,SIV implementation in OpenSSL just returns success for such a call instead,SIV implementation in OpenSSL just returns success for such a call instead,SIV implementation in OpenSSL just returns success for such a call instead,O(square(n)) with 'n' being the size of the sub-identifiers in bytes,O(square(n)) with 'n' being the size of the sub-identifiers in bytes,O(square(n)) with 'n' being the size of the sub-identifiers in bytes,O(square(n)) with 'n' being the size of the sub-identifiers in bytes
icsa-23-166-11_chunk_6.txt,512,,The CVSS vector string,vector string,vector string,vector string,5.3 has been assigned,CVSS v3 base score of 7.8 has,CVSS v3 base score of 7.8 has,CVSS v3 base score of 7.8 has,3.2.39 IMPROPER RESTRICTION OF OPERATIONS WITHIN THE BOUNDS OF A MEMORY BUFFER CWE-476,CVE-2022-4662,3.2.39 IMPROPER RESTRICTION OF OPERATIONS WITHIN THE BOUNDS OF A MEMORY BUFFER CWE-476,3.2.39 IMPROPER RESTRICTION OF OPERATIONS WITHIN THE BOUNDS OF A MEMORY BUFFER CWE-476
aa23-347a_chunk_3.txt,512,,To secure long-term access to the environment,To secure long-term access to the environment,To secure long-term access to the environment,To secure long-term access to the environment,.e,.e,.e,.e,"To further enable obfuscation, data exchanged with malware via OneDrive and Dropbox were hidden inside randomly generated BMP files","To further enable obfuscation, data exchanged with malware via OneDrive and Dropbox were hidden inside randomly generated BMP files","To further enable obfuscation, data exchanged with malware via OneDrive and Dropbox were hidden inside randomly generated BMP files","To further enable obfuscation, data exchanged with malware via OneDrive and Dropbox were hidden inside randomly generated BMP files"
aa23-339a_chunk_6.txt,512,,Enforce Signed Software Execution Policies,Enforce Signed Software Execution Policies,Enforce Signed Software Execution Policies,Enforce Signed Software Execution Policies,"products,","products,","products,","products,",Layering Network Security Through Segmentation,Layering Network Security Through Segmentation,Layering Network Security Through Segmentation,Layering Network Security Through Segmentation
aa20-352a_chunk_6.txt,512,,If the adversary has compromised administrative level credentials in an environment,If the adversary has compromised administrative level credentials in an environment,If the adversary has compromised administrative level credentials in an environment,If the adversary has compromised administrative level credentials in an environment,.g,.g,.g,.g,"Configure logging to ensure that all logs from the host OS, SolarWinds platform, and associated network logs are being captured and stored for at least 180 days",TRUE,"Configure logging to ensure that all logs from the host OS, SolarWinds platform, and associated network logs are being captured and stored for at least 180 days",TRUE
aa22-158a_chunk_0.txt,512,,Common Vulnerabilities and Exposures (CVEs),Common Vulnerabilities and Exposures (CVEs),Common Vulnerabilities and Exposures (CVEs),Common Vulnerabilities and Exposures (CVEs),PRC state,PRC state,PRC state,PRC state,Common Vulnerabilities and Exposures (CVEs),Common Vulnerabilities and Exposures (CVEs),Common Vulnerabilities and Exposures (CVEs),Common Vulnerabilities and Exposures (CVEs)
aa23-347a_chunk_6.txt,512,,opportunistic in nature and not necessarily a targeted attack,extortion of the organization,opportunistic in nature and not necessarily a targeted attack,opportunistic in nature and not necessarily a targeted attack,"sort of pattern or trend, aside","enumerate accessible network shares in a domain.[21],[22","sort of pattern or trend, aside","sort of pattern or trend, aside",SVR’s exploitation of these victims’ networks was opportunistic in nature and not necessarily a targeted attack,SVR’s exploitation of these victims’ networks was opportunistic in nature and not necessarily a targeted attack,SVR’s exploitation of these victims’ networks was opportunistic in nature and not necessarily a targeted attack,SVR’s exploitation of these victims’ networks was opportunistic in nature and not necessarily a targeted attack
aa21-008a_chunk_2.txt,512,,Investigate unusual activity regarding Microsoft Graph,Sentinel detection for identifying changes to the identity federation from a user or application,Sentinel detection for identifying changes to the identity federation from a user or application,Sentinel detection for identifying changes to the identity federation from a user or application,e.g,"6, 2021","6, 2021","6, 2021",Review the “top actors” for activity in the environment and the number of credential modifications performed,mapping malicious cyber activity to the MITRE ATT&CK framework,Review the “top actors” for activity in the environment and the number of credential modifications performed,mapping malicious cyber activity to the MITRE ATT&CK framework
aa22-277a_chunk_6.txt,512,,to turn the echo off,extortion of the organization,The manipulation leads to use after free,automatically detect and prevent malicious files from executing,"’s system and executing commands, the threat actors used /q and","enumerate accessible network shares in a domain.[21],[22",7.8 has been assigned,dhs.gov (UNCLASS) CISA encourages you,"turn the echo off, carry out the command specified by the victim’s system",3.2.39 USE AFTER FREE CWE-416,Domain Trust Discovery Chocolatey Handles command-line package management on Microsoft Windows,Obtain Capabilities: Malware T1587.001 Actors used the legitimate ASPX web shell to execute ssh.exe on a recurring basis
ar22-277a_chunk_5.txt,512,,a path to an archive targeted by the attacker,a path to an archive targeted by the attacker,a path to an archive targeted by the attacker,a path to an archive targeted by the attacker,mqsvn,mqsvn,mqsvn,mqsvn,encrypted MD5 hashes of files that have been uploaded to the Internet by the file mqsvn.exe,encrypted MD5 hashes of files that have been uploaded to the Internet by the file mqsvn.exe,encrypted MD5 hashes of files that have been uploaded to the Internet by the file mqsvn.exe,encrypted MD5 hashes of files that have been uploaded to the Internet by the file mqsvn.exe
ar22-277a_chunk_4.txt,512,,confidential client information,confidential client information,confidential client information,confidential client information,OneDriveClient,OneDriveClient,OneDriveClient,OneDriveClient,ntstatus.log,ntstatus.log,ntstatus.log,ntstatus.log
icsa-23-166-11_chunk_5.txt,512,,CVE-2022-3303,CVE-2022-3303,CVE-2022-3303,CVE-2022-3303,2022-3521 has been assigned to this vulnerability,2022-3521 has been assigned to this vulnerability,2022-3521 has been assigned to this vulnerability,2022-3521 has been assigned to this vulnerability,NVME_IOCTL_RESET,NVME_IOCTL_RESET,NVME_IOCTL_RESET,NVME_IOCTL_RESET
ar23-209a_chunk_4.txt,512,,execution continues without enabling debug mode,execution continues without enabling debug mode,execution continues without enabling debug mode,execution continues without enabling debug mode,os_tools,os_tools,os_tools,os_tools,debug mode is enabled,debug mode is enabled,debug mode is enabled,debug mode is enabled
icsa-23-166-11_chunk_14.txt,512,,end user applications,memory leak,memory leak,memory leak,/C:N/I:N,7.8 has been assigned,7.8 has been assigned,7.8 has been assigned,A remote attacker could execute code leaking kernel memory (respectively) remotely via Bluetooth,CVE-2022-4662 has been assigned to this vulnerability. A CVSS v3 base score of 7.8 has been calculated.,A remote attacker could execute code leaking kernel memory (respectively) remotely via Bluetooth,A remote attacker could execute code leaking kernel memory (respectively) remotely via Bluetooth
aa23-325a_chunk_4.txt,512,,to save the HKLM\SYSTEM registry hive,to save the HKLM\SYSTEM registry hive,to save the HKLM\SYSTEM registry hive,to save the HKLM\SYSTEM registry hive,4 =,4 =,4 =,4 =,HKLMSYSTEM registry hive into the C:WindowsTaskam directory,HKLMSYSTEM registry hive into the C:WindowsTaskam directory,HKLMSYSTEM registry hive into the C:WindowsTaskam directory,HKLMSYSTEM registry hive into the C:WindowsTaskam directory
icsa-24-102-08_chunk_1.txt,512,,subsequent logic errors,subsequent logic errors,subsequent logic errors,subsequent logic errors,such as WRITEFILE. CVE,such as WRITEFILE. CVE,such as WRITEFILE. CVE,such as WRITEFILE. CVE,The OpenSSL asn1parse command line application is also impacted by this issue,The OpenSSL asn1parse command line application is also impacted by this issue,The OpenSSL asn1parse command line application is also impacted by this issue,The OpenSSL asn1parse command line application is also impacted by this issue
aa24-038a_chunk_9.txt,512,,active manipulation of a domain controller’s data,active manipulation of a domain controller’s data,active manipulation of a domain controller’s data,active manipulation of a domain controller’s data,Active Directory\ntds,Active Directory\ntds,Active Directory\ntds,Active Directory\ntds,"review specific application event log IDs, which remain on endpoints for longer periods compared to security event logs and other ephemeral artifacts","review specific application event log IDs, which remain on endpoints for longer periods compared to security event logs and other ephemeral artifacts","review specific application event log IDs, which remain on endpoints for longer periods compared to security event logs and other ephemeral artifacts","review specific application event log IDs, which remain on endpoints for longer periods compared to security event logs and other ephemeral artifacts"
aa24-109a_chunk_6.txt,512,,#StopRansomware Guide,Cyber Hygiene Services and Ransomware Readiness Assessment,#StopRansomware Guide,Select an ATT&CK technique,EC3,CK techniques identified in this advisory,EC3,.g,VALIDATE SECURITY CONTROLS,TRUE,legitimate freeware and open-source tools LockBit affiliates have repurposed for ransomware operations,legitimate freeware and open-source tools LockBit affiliates have repurposed for ransomware operations
icsa-23-222-09_chunk_2.txt,512,,1518T-4 PN/DP,1518T-4 PN/DP,1518T-4 PN/DP,1518T-4 PN/DP,SIPLUS S7-1500 CPU 1511,SIPLUS S7-1500 CPU 1511,SIPLUS S7-1500 CPU 1511,SIPLUS S7-1500 CPU 1511,software controller,software controller,software controller,software controller
aa24-038a_chunk_21.txt,512,,to remove evidence of their intrusion activity and masquerading file names,Privacy & Use policy,to access hosted resources without significant evidence or telemetry being generated,to access hosted resources without significant evidence or telemetry being generated,-line and use other native tools and processes on systems (often referred,CISA at this,"6, 2021","6, 2021",Clear Windows Event Logs,Clear Windows Event Logs,Clear Windows Event Logs,Clear Windows Event Logs
aa23-347a_chunk_9.txt,512,,an additional layer of security for all users with access to sensitive data,authentication can occur outside of an organization’s known infrastructure,authentication can occur outside of an organization’s known infrastructure,authentication can occur outside of an organization’s known infrastructure,amount of time. Require use,"6, 2021","6, 2021","6, 2021","Require use of multi-factor authentication [CPG 1.3] for all services to the extent possible, particularly for email, virtual private networks, and accounts that access critical systems","Require use of multi-factor authentication [CPG 1.3] for all services to the extent possible, particularly for email, virtual private networks, and accounts that access critical systems","Require use of multi-factor authentication [CPG 1.3] for all services to the extent possible, particularly for email, virtual private networks, and accounts that access critical systems","Require use of multi-factor authentication [CPG 1.3] for all services to the extent possible, particularly for email, virtual private networks, and accounts that access critical systems"
aa23-059a_chunk_7.txt,512,,Create a local administrator account on a target server system,Create a local administrator account on a target server system,Create a local administrator account on a target server system,Create a local administrator account on a target server system,.g,.g,.g,.g,Create Account: Local Account (workstation) Create a local administrator account on a target server system,Create Account: Local Account (workstation) Create a local administrator account on a target server system,Create Account: Local Account (workstation) Create a local administrator account on a target server system,Create Account: Local Account (workstation) Create a local administrator account on a target server system
ar23-209a_chunk_3.txt,512,,"to perform a combination of file manipulation, script generation and execution",extortion of the organization,"to perform a combination of file manipulation, script generation and execution","to perform a combination of file manipulation, script generation and execution",update_version,"enumerate accessible network shares in a domain.[21],[22",update_version,update_version,"perform a combination of file manipulation, script generation and execution",a .NET DLL that is designed to invoke PowerShell to download and execute a file,Enables escalation of privileges by changing settings before running software,"a scheduled task license validf, which appears as legitimate/benign and executes ssh.exe on a recurring basis"
icsa-24-074-07_chunk_16.txt,512,,local escalation of privilege with no additional execution privileges needed,local escalation of privilege with no additional execution privileges needed,local escalation of privilege with no additional execution privileges needed,local escalation of privilege with no additional execution privileges needed,assigned to this vulnerability,assigned to this vulnerability,assigned to this vulnerability,assigned to this vulnerability,"Android Versions: Android-10, Android-11, Android-8.1, Android-9","Android Versions: Android-10, Android-11, Android-8.1, Android-9","Android Versions: Android-10, Android-11, Android-8.1, Android-9","Android Versions: Android-10, Android-11, Android-8.1, Android-9"
ar21-134a_chunk_3.txt,512,,perform a reboot,that all computers and mobile devices on your home network run antivirus software,perform a reboot,perform a reboot,e.g,"addition to a network firewall, consider installing a firewall on all computers connected",e.g,e.g,TRUE,TRUE,TRUE,TRUE
icsa-23-166-11_chunk_18.txt,512,,Do not click web links or open attachments,Do not click web links or open attachments,Do not click web links or open attachments,Do not click web links or open attachments,Avoiding Email Scams for more information on avoiding email scams. Refer,Avoiding Email Scams for more information on avoiding email scams. Refer,Avoiding Email Scams for more information on avoiding email scams. Refer,Avoiding Email Scams for more information on avoiding email scams. Refer,Do not click web links or open attachments in unsolicited email messages,Do not click web links or open attachments in unsolicited email messages,Do not click web links or open attachments in unsolicited email messages,Do not click web links or open attachments in unsolicited email messages
aa20-301a_chunk_4.txt,512,,zeroing out Registry values,block malicious traffic from entering your home network and alert you to potentially dangerous activity,to collect information from victim environments,to collect information from victim environments,TeamViewer client netsvcs.exe.[58,"addition to a network firewall, consider installing a firewall on all computers connected","6, 2021","6, 2021","Every time vcmon.exe is executed, it disables the firewall by zeroing out Registry values","Every time vcmon.exe is executed, it disables the firewall by zeroing out Registry values","Every time vcmon.exe is executed, it disables the firewall by zeroing out Registry values","Every time vcmon.exe is executed, it disables the firewall by zeroing out Registry values"
icsa-24-074-07_chunk_12.txt,512,,local escalation of privilege with no additional execution privileges needed,local escalation of privilege with no additional execution privileges needed,local escalation of privilege with no additional execution privileges needed,local escalation of privilege with no additional execution privileges needed,due to a missing bounds check. This could lead,due to a missing bounds check. This could lead,due to a missing bounds check. This could lead,due to a missing bounds check. This could lead,local escalation of privilege with no additional execution privileges needed,local escalation of privilege with no additional execution privileges needed,local escalation of privilege with no additional execution privileges needed,local escalation of privilege with no additional execution privileges needed
aa24-038a_chunk_23.txt,512,,Server Message Block (SMB),Server Message Block (SMB),Server Message Block (SMB),Server Message Block (SMB),&CK Techniques,&CK Techniques,&CK Techniques,&CK Techniques,Archive Collected Data: Archive via Utility T1560.001 Volt Typhoon has compressed and archived the extracted ntds.dit,Archive Collected Data: Archive via Utility T1560.001 Volt Typhoon has compressed and archived the extracted ntds.dit,Archive Collected Data: Archive via Utility T1560.001 Volt Typhoon has compressed and archived the extracted ntds.dit,Archive Collected Data: Archive via Utility T1560.001 Volt Typhoon has compressed and archived the extracted ntds.dit
aa24-109a_chunk_2.txt,512,,to hinder dynamic analysis,to hinder dynamic analysis,to hinder dynamic analysis,to hinder dynamic analysis,” and the ability,” and the ability,” and the ability,” and the ability,hinder dynamic analysis,hinder dynamic analysis,hinder dynamic analysis,hinder dynamic analysis
aa21-209a_chunk_5.txt,512,,Manually check the software version,tracking and correlation against other incidents,Manually check the software version,Manually check the software version,https://media.defense.gov,CISA at this,https://media.defense.gov,https://media.defense.gov,Manually check your software version to see if it is susceptible to this vulnerability,Microsoft Security Update Guide: Windows Print Spooler Remote Code Execution Vulnerability,Manually check your software version to see if it is susceptible to this vulnerability,Manually check your software version to see if it is susceptible to this vulnerability
aa21-062a_chunk_0.txt,512,,may additionally enable the attacker to compromise trust and identity in a vulnerable network,may additionally enable the attacker to compromise trust and identity in a vulnerable network,may additionally enable the attacker to compromise trust and identity in a vulnerable network,may additionally enable the attacker to compromise trust and identity in a vulnerable network,2021-26855 or via stolen admin credentials,2021-26855 or via stolen admin credentials,2021-26855 or via stolen admin credentials,2021-26855 or via stolen admin credentials,enable the attacker to compromise trust and identity in a vulnerable network,"Microsoft Security Update Guide: Windows Print Spooler Remote Code Execution Vulnerability, CVE-2021-40444 Multiple Windows products",enable the attacker to compromise trust and identity in a vulnerable network,enable the attacker to compromise trust and identity in a vulnerable network
aa21-062a_chunk_4.txt,512,,will prevent the saved file from overwriting any dataspace on the system,will prevent the saved file from overwriting any dataspace on the system,will prevent the saved file from overwriting any dataspace on the system,will prevent the saved file from overwriting any dataspace on the system,"RegistryHivesUser,ScheduledTasks","RegistryHivesUser,ScheduledTasks","RegistryHivesUser,ScheduledTasks","RegistryHivesUser,ScheduledTasks",Doing so will prevent the saved file from overwriting any dataspace on the system,Doing so will prevent the saved file from overwriting any dataspace on the system,Doing so will prevent the saved file from overwriting any dataspace on the system,Doing so will prevent the saved file from overwriting any dataspace on the system
icsa-24-074-07_chunk_19.txt,512,,User interaction is not needed for exploitation,high attack complexity,memory leak,memory leak,"2P device address in PD Request frame in Snapdragon Auto, Snapdragon Compute",CISA at this,7.8 has been assigned,7.8 has been assigned,TRUE,"Microsoft Security Update Guide: Windows Print Spooler Remote Code Execution Vulnerability, CVE-2021-40444",TRUE,TRUE
aa23-215a_chunk_0.txt,512,,to reduce the risk of compromise by malicious cyber actors,authentication can occur outside of an organization’s known infrastructure,authentication can occur outside of an organization’s known infrastructure,authentication can occur outside of an organization’s known infrastructure,"such as endpoint detection and response (EDR), web application firewalls","6, 2021","6, 2021","6, 2021",TRUE,a .NET DLL that is designed to invoke PowerShell to download and execute a file,TRUE,TRUE
aa20-352a_chunk_9.txt,512,,Privacy & Use policy,to access hosted resources without significant evidence or telemetry being generated,to access hosted resources without significant evidence or telemetry being generated,to access hosted resources without significant evidence or telemetry being generated,152.35[.],"6, 2021","6, 2021","6, 2021",advanced cyberattack hits multiple global victims,TRUE,advanced cyberattack hits multiple global victims,TRUE
aa24-109a_chunk_7.txt,512,,"Sophos, and Fortinet","Sophos, and Fortinet","Sophos, and Fortinet","Sophos, and Fortinet","does not constitute or imply endorsement, recommendation","does not constitute or imply endorsement, recommendation","does not constitute or imply endorsement, recommendation","does not constitute or imply endorsement, recommendation","Sophos, and Fortinet","Sophos, and Fortinet","Sophos, and Fortinet","Sophos, and Fortinet"
aa23-320a_chunk_2.txt,512,,To determine if their activities have been uncovered and maintain persistence,extortion of the organization,To determine if their activities have been uncovered and maintain persistence,To determine if their activities have been uncovered and maintain persistence,’s network. Table 5,"enumerate accessible network shares in a domain.[21],[22",’s network. Table 5,’s network. Table 5,"To determine if their activities have been uncovered and maintain persistence, Scattered Spider threat actors often search the victim’s Slack, Microsoft Teams, and Microsoft Exchange online for emails",TRUE,"Gathers AD information used to exploit a victim’s network, escalate privileges, and facilitate lateral movement","Gathers AD information used to exploit a victim’s network, escalate privileges, and facilitate lateral movement"
aa23-136a_chunk_10.txt,512,,This product is provided subject to this Notification and this Privacy & Use policy,This product is provided subject to this Notification and this Privacy & Use policy,This product is provided subject to this Notification and this Privacy & Use policy,This product is provided subject to this Notification and this Privacy & Use policy,. This product is provided subject to this Notification and this Privacy,. This product is provided subject to this Notification and this Privacy,. This product is provided subject to this Notification and this Privacy,. This product is provided subject to this Notification and this Privacy,This product is provided subject to this Notification and this Privacy & Use policy,This product is provided subject to this Notification and this Privacy & Use policy,This product is provided subject to this Notification and this Privacy & Use policy,This product is provided subject to this Notification and this Privacy & Use policy
aa23-201a_chunk_3.txt,512,,threat actors,threat actors,threat actors,threat actors,&CK Techniques,&CK Techniques,&CK Techniques,&CK Techniques,"compression, encryption, and port reuse","compression, encryption, and port reuse","compression, encryption, and port reuse","compression, encryption, and port reuse"
icsa-23-222-09_chunk_4.txt,512,,V3.0.3 or later,V3.0.3 or later,V3.0.3 or later,V3.0.3 or later,AB0): Update to V2.9.7 or later,AB0): Update to V2.9.7 or later,AB0): Update to V2.9.7 or later,AB0): Update to V2.9.7 or later,V3.0.3 or later,V3.0.3 or later,V3.0.3 or later,V3.0.3 or later
aa20-301a_chunk_1.txt,512,,gain login and password information,gain login and password information,gain login and password information,gain login and password information,"HTA file then downloads, decodes","HTA file then downloads, decodes","HTA file then downloads, decodes","HTA file then downloads, decodes",to match its targets’ interests,to match its targets’ interests,to match its targets’ interests,to match its targets’ interests
icsa-23-166-10_chunk_0.txt,512,,denial of service,denial of service,denial of service,denial of service,3,3,3,3,Siemens reports these vulnerabilities affect the BIOS of the following SIMATIC S7-1500 products,Siemens reports these vulnerabilities affect the BIOS of the following SIMATIC S7-1500 products,Siemens reports these vulnerabilities affect the BIOS of the following SIMATIC S7-1500 products,Siemens reports these vulnerabilities affect the BIOS of the following SIMATIC S7-1500 products
aa23-144a_chunk_8.txt,512,,to identify and disseminate threats,Privacy & Use policy,Sentinel detection for identifying changes to the identity federation from a user or application,Sentinel detection for identifying changes to the identity federation from a user or application,nsa.gov NSA Media Inquiries / Press Desk: 443,CISA at this,"6, 2021","6, 2021",NSA Cybersecurity Collaboration Center,develop and issue cybersecurity specifications and mitigations,Figure 2 shows the alleged number of victims worldwide on LockBit leak sites starting in Q3 2020,TRUE
